Абхазский|abk
Азербайджанский|aze
Албанский|alb
Английский|eng
Армянский|arm
Башкирский|BA
Белорусский|bel
Болгарский|bul|
Венгерский|hun
Вьетнамский|vie
Голландский|dut
Греческий современный (1453-)|ell
Данийский|dan
Древнегреческий (до 1453)|grc 
Иврит|heb
Испанский|es
Итальянский|ita
Казахский|kaz
Киргизский|kir
Китайский|chi
Корейскийkor
Латинский|lat
Латвийский|lav
Литовский|lit
Македонийский|mac
Молдавский|mol
Монгольский|mon
Немецкий|deu
Несколько языков|mul
Неопределенный|und
Норвежский|nor
Персидский|fas
Польский|pol
Португальский|por
Русский|rus
Санскрит|san
Словакский|slo
Словенский|slv
Таджикский|tgk
Татарский|tat
Турецкий|tur
Узбекский|uzb
Украинский|ukr
Уэльский|cym
Финский|fin
Французский|fra
Чеченский|che
Чешский|ces
Хорватский|hr
Шведский|sve
Эсперанто|epo
Эстонский|est
Японский|jpn
