Фантастика, Фэнтези	 … SF, Fantasy
 sf_history Альтернативная история	 … Alternative history
 sf_action Боевая фантастика	 … Action SF
 sf_epic Эпическая фантастика	 … Epic SF
 sf_heroic Героическая фантастика	 … Heroic SF
 sf_detective Детективная фантастика	 … Detective SF
 sf_cyberpunk Киберпанк	 … Cyberpunk
 sf_space Космическая фантастика	 … Space SF
 sf_social Социально-философская фантастика	 … Social SF
 sf_horror Ужасы и Мистика	 … Horror & Mystic
 sf_humor Юмористическая фантастика	 … Humor SF
 sf_fantasy Фэнтези	 … Fantasy
 sf Научная фантастика	 … Science Fiction
 child_sf Детская фантастика	 … Science Fiction for Kids
 love_sf Любовная фантастика	… Love
Детективы и Боевики	 … Detectives, Thrillers
 det_classic Классические детективы	 … Classical Detective
 det_police Полицейские детективы	 … Police Stories
 det_action Боевики	 … Action
 det_irony Иронические детективы	 … Ironical Detective
 det_history Исторические детективы	 … Historical Detective
 det_espionage Шпионские детективы	 … Espionage Detective
 det_crime Криминальные детективы	 … Crime Detective
 det_political Политические детективы	 … Political Detective
 det_maniac Маньяки	 … Maniacs
 det_hard Крутой детектив	 … Hard-boiled Detective
 thriller Триллеры	 … Thrillers
 detective Детективы	 … Detective
 sf_detective НФ детективы	 … Detective SF
 child_det Детские детективы	 … Detectives & Thrillers
 love_detective Остросюжетные любовные романы	 … Detective Romance
Проза	 … Prose
 prose_classic Классическая проза	 … Classics Prose
 prose_history Историческая проза	 … Historical Prose
 prose_contemporary Современная проза	 … Contemporary Prose
 prose_counter Контркультура	 … Counterculture
 prose_rus_classic Русская классика	 … Russian Classics
 prose_su_classics Советская классика	 … Soviet Classics
 humor_prose Юмористическая проза	 … Humor Prose
 prose_military Военная проза	 … Prose Military
 child_prose Детская проза	 … Prose for Kids
Любовные романы	 … Romance
 love_contemporary Современные любовные романы	 … Contemporary Romance
 love_history Исторические любовные романы	 … Historical Romance
 love_detective Остросюжетные любовные романы	 … Detective Romance
 love_short Короткие любовные романы	 … Short Romance
 love_erotica Эротика	 … Erotica
 love_sf Любовная фантастика	… Love
Приключения	 … Adventure
 adv_western Вестерны	 … Western
 adv_history Исторические приключения	 … History
 adv_indian Приключения: Индейцы	 … Indians
 adv_maritime Морские приключения	 … Maritime Fiction
 adv_geo Путешествия и География	 … Travel & Geography
 adv_animal Природа и Животные	 … Nature & Animals
 adventure Приключения: Прочее	 … Misk Adventures
 child_adv Детские приключения	 … Adventures for Kids
Детские	 … Children's
 child_tale Сказки	 … Fairy Tales
 child_verse Детские стихи	 … Verses
 child_prose Детская проза	 … Prose for Kids
 child_sf Детская фантастика	 … Science Fiction for Kids
 child_det Детские остросюжетные	 … Detectives & Thrillers
 child_adv Детские приключения	 … Adventures for Kids
